geo_level,geo_code,name,variable,value
subcounty,,Gucha South,Intersex,3
subcounty,,Gucha South,Female,43598
subcounty,,Gucha South,Male,40022
subcounty,,Gucha South,Total,83623
subcounty,,Habaswein,Intersex,16
subcounty,,Habaswein,Female,79505
subcounty,,Habaswein,Male,94613
subcounty,,Habaswein,Total,174134
subcounty,,Hamisi,Female,82337
subcounty,,Hamisi,Intersex,3
subcounty,,Hamisi,Male,76901
subcounty,,Hamisi,Total,159241
subcounty,,Homa Bay,Female,61681
subcounty,,Homa Bay,Male,55756
subcounty,,Homa Bay,Intersex,2
subcounty,,Homa Bay,Total,117439
subcounty,,Hulugho,Female,55898
subcounty,,Hulugho,Male,78081
subcounty,,Hulugho,Intersex,5
subcounty,,Hulugho,Total,133984
subcounty,,Igam bang'ombe,Male,26464
subcounty,,Igam bang'ombe,Intersex,1
subcounty,,Igam bang'ombe,Total,53210
subcounty,,Igam bang'ombe,Female,26745
subcounty,,Igem be Central,Male,111208
subcounty,,Igem be Central,Intersex,4
subcounty,,Igem be Central,Total,221412
subcounty,,Igem be Central,Female,110200
subcounty,,Igembe North,Total,169317
subcounty,,Igembe North,Male,83364
subcounty,,Igembe North,Female,85949
subcounty,,Igembe North,Intersex,4
subcounty,,Igembe South,Total,161646
subcounty,,Igembe South,Intersex,8
subcounty,,Igembe South,Male,80192
subcounty,,Igembe South,Female,81446
subcounty,,Ijara,Total,141591
subcounty,,Ijara,Male,80458
subcounty,,Ijara,Intersex,4
subcounty,,Ijara,Female,61129
subcounty,,Ikutha,Female,42976
subcounty,,Ikutha,Male,39986
subcounty,,Ikutha,Intersex,2
subcounty,,Ikutha,Total,82964
subcounty,,Imenti North,Intersex,5
subcounty,,Imenti North,Total,177567
subcounty,,Imenti North,Male,88506
subcounty,,Imenti North,Female,89056
subcounty,,Imenti South,Female,103162
subcounty,,Imenti South,Total,206506
subcounty,,Imenti South,Male,103338
subcounty,,Imenti South,Intersex,6
subcounty,,Isinya,Total,210473
subcounty,,Isinya,Male,105607
subcounty,,Isinya,Intersex,6
subcounty,,Isinya,Female,104860
subcounty,,Isiolo,Intersex,5
subcounty,,Isiolo,Female,60647
subcounty,,Isiolo,Male,60414
subcounty,,Isiolo,Total,121066
subcounty,,Jomvu,Intersex,3
subcounty,,Jomvu,Male,83002
subcounty,,Jomvu,Total,163415
subcounty,,Jomvu,Female,80410
subcounty,,Juja,Female,152480
subcounty,,Juja,Intersex,22
subcounty,,Juja,Male,148446
subcounty,,Juja,Total,300948
subcounty,,Kabete,Male,97794
subcounty,,Kabete,Female,101845
subcounty,,Kabete,Intersex,14
subcounty,,Kabete,Total,199653
subcounty,,Kahuro,Total,88193
subcounty,,Kahuro,Female,44834
subcounty,,Kahuro,Male,43352
subcounty,,Kahuro,Intersex,7
subcounty,,Kajiado Central,Female,80343
subcounty,,Kajiado Central,Total,161862
subcounty,,Kajiado Central,Male,81514
subcounty,,Kajiado Central,Intersex,5
subcounty,,Kajiado North,Total,306596
subcounty,,Kajiado North,Female,155908
subcounty,,Kajiado North,Male,150675
subcounty,,Kajiado North,Intersex,13
subcounty,,Kajiado West,Intersex,5
subcounty,,Kajiado West,Total,182849
subcounty,,Kajiado West,Female,91237
subcounty,,Kajiado West,Male,91607
subcounty,,Kakamega Central,Male,92774
subcounty,,Kakamega Central,Total,188212
subcounty,,Kakamega Central,Intersex,6
subcounty,,Kakamega Central,Female,95432
subcounty,,Kakamega East,Total,167641
