geo_level,geo_code,geo_version,name,Age,Total
county,11,,Isiolo,70-74,2422
county,11,,Isiolo,75-79,1112
county,11,,Isiolo,80-84,1012
county,11,,Isiolo,85-89,470
county,11,,Isiolo,90-94,294
county,11,,Isiolo,95-99,122
county,11,,Isiolo,100+,70
county,11,,Isiolo,Not Stated,1
county,34,,Kajiado,0-4,156328
county,34,,Kajiado,5-9,145595
county,34,,Kajiado,10-14,129632
county,34,,Kajiado,15-19,101368
county,34,,Kajiado,20-24,118819
county,34,,Kajiado,25-29,115153
county,34,,Kajiado,30-34,99833
county,34,,Kajiado,35-39,70574
county,34,,Kajiado,40-44,53333
county,34,,Kajiado,45-49,41039
county,34,,Kajiado,50-54,28824
county,34,,Kajiado,55-59,19622
county,34,,Kajiado,60-64,13927
county,34,,Kajiado,65-69,8721
county,34,,Kajiado,70-74,6792
county,34,,Kajiado,75-79,3398
county,34,,Kajiado,80-84,2304
county,34,,Kajiado,85-89,1238
county,34,,Kajiado,90-94,638
county,34,,Kajiado,95-99,382
county,34,,Kajiado,100+,261
county,34,,Kajiado,Not Stated,21
county,37,,Kakamega,0-4,225919
county,37,,Kakamega,5-9,268785
county,37,,Kakamega,10-14,291977
county,37,,Kakamega,15-19,238671
county,37,,Kakamega,20-24,149584
county,37,,Kakamega,25-29,114313
county,37,,Kakamega,30-34,116791
county,37,,Kakamega,35-39,84471
county,37,,Kakamega,40-44,80721
county,37,,Kakamega,45-49,63998
county,37,,Kakamega,50-54,54212
county,37,,Kakamega,55-59,49816
county,37,,Kakamega,60-64,42378
county,37,,Kakamega,65-69,31654
county,37,,Kakamega,70-74,22824
county,37,,Kakamega,75-79,14068
county,37,,Kakamega,80-84,9157
county,37,,Kakamega,85-89,5381
county,37,,Kakamega,90-94,1725
county,37,,Kakamega,95-99,860
county,37,,Kakamega,100+,203
county,37,,Kakamega,Not Stated,31
county,35,,Kericho,0-4,109558
county,35,,Kericho,5-9,118225
county,35,,Kericho,10-14,127017
county,35,,Kericho,15-19,107190
county,35,,Kericho,20-24,85577
county,35,,Kericho,25-29,73365
county,35,,Kericho,30-34,70110
county,35,,Kericho,35-39,44925
county,35,,Kericho,40-44,40497
county,35,,Kericho,45-49,34671
county,35,,Kericho,50-54,21071
county,35,,Kericho,55-59,20711
county,35,,Kericho,60-64,15737
county,35,,Kericho,65-69,11963
county,35,,Kericho,70-74,9157
county,35,,Kericho,75-79,4560
county,35,,Kericho,80-84,3528
county,35,,Kericho,85-89,2139
county,35,,Kericho,90-94,928
county,35,,Kericho,95-99,591
county,35,,Kericho,100+,216
county,35,,Kericho,Not Stated,13
county,22,,Kiambu,0-4,278141
county,22,,Kiambu,5-9,241800
county,22,,Kiambu,10-14,227330
county,22,,Kiambu,15-19,211921
county,22,,Kiambu,20-24,268093
county,22,,Kiambu,25-29,253961
county,22,,Kiambu,30-34,229596
county,22,,Kiambu,35-39,181328
county,22,,Kiambu,40-44,143053
county,22,,Kiambu,45-49,112600
county,22,,Kiambu,50-54,82716
county,22,,Kiambu,55-59,61991
county,22,,Kiambu,60-64,38985
county,22,,Kiambu,65-69,29975
county,22,,Kiambu,70-74,23596
county,22,,Kiambu,75-79,13520
county,22,,Kiambu,80-84,8989
county,22,,Kiambu,85-89,5411
county,22,,Kiambu,90-94,2410
county,22,,Kiambu,95-99,1478
county,22,,Kiambu,100+,658
county,22,,Kiambu,Not Stated,48
county,3,,Kilifi,0-4,200831
county,3,,Kilifi,5-9,206185
county,3,,Kilifi,10-14,206772
county,3,,Kilifi,15-19,172350
county,3,,Kilifi,20-24,135391
county,3,,Kilifi,25-29,111860
county,3,,Kilifi,30-34,95962
county,3,,Kilifi,35-39,63213
county,3,,Kilifi,40-44,63106
county,3,,Kilifi,45-49,46506
county,3,,Kilifi,50-54,36041
county,3,,Kilifi,55-59,30046
county,3,,Kilifi,60-64,29594
county,3,,Kilifi,65-69,21335
county,3,,Kilifi,70-74,15301
county,3,,Kilifi,75-79,8726
county,3,,Kilifi,80-84,5336
county,3,,Kilifi,85-89,3002
county,3,,Kilifi,90-94,1158
county,3,,Kilifi,95-99,667
county,3,,Kilifi,100+,363
county,3,,Kilifi,Not Stated,17
county,20,,Kirinyaga,0-4,57491
county,20,,Kirinyaga,5-9,57285
county,20,,Kirinyaga,10-14,60996
county,20,,Kirinyaga,15-19,58069
county,20,,Kirinyaga,20-24,46628
county,20,,Kirinyaga,25-29,42154
county,20,,Kirinyaga,30-34,49748
county,20,,Kirinyaga,35-39,49220
county,20,,Kirinyaga,40-44,42775
county,20,,Kirinyaga,45-49,35967
county,20,,Kirinyaga,50-54,29512
county,20,,Kirinyaga,55-59,24981
county,20,,Kirinyaga,60-64,15874
county,20,,Kirinyaga,65-69,13427
county,20,,Kirinyaga,70-74,10684
