geo_level,geo_code,name,variable,total
subcounty,,Kieni East,Kieni East,110376
subcounty,,Kieni West,Kieni West,88525
subcounty,,Kigumo,Kigumo,136921
subcounty,,Kikuyu,Kikuyu,187122
subcounty,,Kilifi North,Kilifi North,178824
subcounty,,Kilifi South,Kilifi South,206753
subcounty,,Kilungu,Kilungu,60952
subcounty,,Kimilili-Bungoma,Kimilili-Bungoma,162038
subcounty,,Kiminini,Kiminini,242823
subcounty,,Kinango,Kinango,94220
subcounty,,Kinangop,Kinangop,111410
subcounty,,Kipipiri,Kipipiri,93855
subcounty,,Kipkelion,Kipkelion,122530
subcounty,,Kipkomo,Kipkomo,102633
subcounty,,Kirinyaga Central,Kirinyaga Central,122740
subcounty,,Kirinyaga East,Kirinyaga East,135559
subcounty,,Kirinyaga West,Kirinyaga West,114660
subcounty,,Kisasi,Kisasi,46142
subcounty,,Kisauni,Kisauni,291930
subcounty,,Kisii Central,Kisii Central,166906
subcounty,,Kisii South,Kisii South,135134
subcounty,,Kisumu Central,Kisumu Central,174145
subcounty,,Kisumu East,Kisumu East,220997
subcounty,,Kisumu West,Kisumu West,172821
subcounty,,Kitui Central,Kitui Central,105991
subcounty,,Kitui West,Kitui West,70871
subcounty,,Kitutu Central,Kitutu Central,154175
subcounty,,Koibatek,Koibatek,129535
subcounty,,Konoin,Konoin,163507
subcounty,,Kuresoi North,Kuresoi North,175074
subcounty,,Kuresoi South,Kuresoi South,155324
subcounty,,Kuria East,Kuria East,96872
subcounty,,Kuria West,Kuria West,208513
subcounty,,Kutulo,Kutulo,72394
subcounty,,Kwanza,Kwanza,203821
subcounty,,Kyuso,Kyuso,76867
subcounty,,Lafey,Lafey,83457
subcounty,,Lagdera,Lagdera,50315
subcounty,,Laikipia Central,Laikipia Central,95594
subcounty,,Laikipia East,Laikipia East,102815
subcounty,,Laikipia North,Laikipia North,36184
subcounty,,Laikipia West,Laikipia West,129263
subcounty,,Lamu East,Lamu East,22258
subcounty,,Lamu West,Lamu West,121662
subcounty,,Lang'ata,Lang'ata,197489
subcounty,,Lari,Lari,135303
subcounty,,Likoni,Likoni,250358
subcounty,,Likuyani,Likuyani,152055
subcounty,,Limuru,Limuru,159314
subcounty,,Loima,Loima,107795
subcounty,,Loitokitok,Loitokitok,191846
subcounty,,Loiyangalani,Loiyangalani,35713
subcounty,,Londiani,Londiani,137580
subcounty,,Lower Yatta,Lower Yatta,63329
subcounty,,Luanda,Luanda,106694
subcounty,,Lugari,Lugari,122728
subcounty,,Lungalunga,Lungalunga,198423
subcounty,,Maara,Maara,114894
subcounty,,Machakos,Machakos,170606
subcounty,,Magarini,Magarini,191610
subcounty,,Makadara,Makadara,189536
subcounty,,Makindu,Makindu,84946
subcounty,,Makueni,Makueni,130375
subcounty,,Malindi,Malindi,333226
subcounty,,Mandera Central,Mandera Central,157220
subcounty,,Mandera East,Mandera East,159638
subcounty,,Mandera North,Mandera North,143850
subcounty,,Mandera West,Mandera West,98300
subcounty,,Manga,Manga,94209
subcounty,,Marakwet East,Marakwet East,97041
subcounty,,Marakwet West,Marakwet West,137513
subcounty,,Marani,Marani,107464
subcounty,,Marigat,Marigat,90955
subcounty,,Mars abit Central,Mars abit Central,79181
subcounty,,Marsabit North,Marsabit North,54297
subcounty,,Marsabit South,Marsabit South,65376
subcounty,,Mas aba South,Mas aba South,122396
subcounty,,Mas huuru,Mas huuru,64214
subcounty,,Masaba North,Masaba North,111860
subcounty,,Masinga,Masinga,148522
subcounty,,Matete,Matete,66172
subcounty,,Mathare,Mathare,206564
subcounty,,Mathioya,Mathioya,92814
subcounty,,Mathira East,Mathira East,99065
subcounty,,Mathira West,Mathira West,59895
subcounty,,Matinyani,Matinyani,47811
subcounty,,Matuga,Matuga,194252
subcounty,,Matungu,Matungu,166940
subcounty,,Matungulu,Matungulu,161557
subcounty,,Mau Forest,Mau Forest,32
subcounty,,Mbeere North,Mbeere North,108881
subcounty,,Mbeere South,Mbeere South,163476
subcounty,,Mbooni East,Mbooni East,97756
subcounty,,Mbooni West,Mbooni West,102594
subcounty,,Merti,Merti,47206
subcounty,,Meru Central,Meru Central,133818
subcounty,,Meru National Park,Meru National Park,385
subcounty,,Meru South,Meru South,91080
subcounty,,Migwani,Migwani,79255
subcounty,,Mirangine,Mirangine,67214
subcounty,,Mogotio,Mogotio,91104
subcounty,,Moiben,Moiben,181338
subcounty,,Molo,Molo,156732
subcounty,,Moyale,Moyale,108949
subcounty,,Msambweni,Msambweni,177690
subcounty,,Mt Elgon,Mt Elgon,78873
subcounty,,Mt Elgon Forest,Mt Elgon Forest,3621
subcounty,,Mt Kenya Forest,Mt Kenya Forest,1163
subcounty,,Muhoroni,Muhoroni,154116
subcounty,,Mukaa,Mukaa,107549
subcounty,,Mukurwe-ini,Mukurwe-ini,89137
subcounty,,Mum oni,Mum oni,29344
subcounty,,Mumias East,Mumias East,116851
subcounty,,Mumias West,Mumias West,115354
subcounty,,Murang'a East,Murang'a East,110311
subcounty,,Murang'a South,Murang'a South,184824
subcounty,,Mutitu,Mutitu,55287
subcounty,,Mutitu North,Mutitu North,21215
subcounty,,Mutomo,Mutomo,113356
subcounty,,Mvita,Mvita,154171
subcounty,,Mwala,Mwala,181896
subcounty,,Mwatate,Mwatate,81659
subcounty,,Mwea East,Mwea East,132554
subcounty,,Mwea West,Mwea West,104828
subcounty,,Mwingi Central,Mwingi Central,108713
subcounty,,Mwingi East,Mwingi East,85139
