geo_level,geo_code,name,population_sex_2019,total
subcounty,,Hamisi,Intersex,3
subcounty,,Homa Bay,Intersex,2
subcounty,,Hulugho,Intersex,5
subcounty,,Igam bang'ombe,Intersex,1
subcounty,,Igem be Central,Intersex,4
subcounty,,Igembe North,Intersex,4
subcounty,,Igembe South,Intersex,8
subcounty,,Ijara,Intersex,4
subcounty,,Ikutha,Intersex,2
subcounty,,Imenti North,Intersex,5
subcounty,,Imenti South,Intersex,6
subcounty,,Isinya,Intersex,6
subcounty,,Isiolo,Intersex,5
subcounty,,Jomvu,Intersex,3
subcounty,,Juja,Intersex,22
subcounty,,Kabete,Intersex,14
subcounty,,Kahuro,Intersex,7
subcounty,,Kajiado Central,Intersex,5
subcounty,,Kajiado North,Intersex,13
subcounty,,Kajiado West,Intersex,5
subcounty,,Kakamega Central,Intersex,6
subcounty,,Kakamega East,Intersex,4
subcounty,,Kakamega Forest,Intersex,
subcounty,,Kakamega North,Intersex,5
subcounty,,Kakamega South,Intersex,
subcounty,,Kalama,Intersex,6
subcounty,,Kaloleni,Intersex,5
subcounty,,Kamukunji,Intersex,7
subcounty,,Kandara,Intersex,7
subcounty,,Kangema,Intersex,3
subcounty,,Kangundo,Intersex,1
subcounty,,Kapseret,Intersex,4
subcounty,,Kasarani,Intersex,37
subcounty,,Kathiani,Intersex,4
subcounty,,Kathonzweni,Intersex,3
subcounty,,Katulani,Intersex,1
subcounty,,Kauma,Intersex,
subcounty,,Keiyo North,Intersex,1
subcounty,,Keiyo South,Intersex,4
subcounty,,Kenyenya,Intersex,3
subcounty,,Kericho East,Intersex,7
subcounty,,Kesses,Intersex,4
subcounty,,Khwisero,Intersex,3
subcounty,,Kiambaa,Intersex,15
subcounty,,Kiambu,Intersex,17
subcounty,,Kibish,Intersex,1
subcounty,,Kibra,Intersex,9
subcounty,,Kibwezi,Intersex,6
subcounty,,Kieni East,Intersex,4
subcounty,,Kieni West,Intersex,5
subcounty,,Kigumo,Intersex,3
subcounty,,Kikuyu,Intersex,5
subcounty,,Kilifi North,Intersex,2
subcounty,,Kilifi South,Intersex,4
subcounty,,Kilungu,Intersex,1
subcounty,,Kimilili-Bungoma,Intersex,3
subcounty,,Kiminini,Intersex,6
subcounty,,Kinango,Intersex,1
subcounty,,Kinangop,Intersex,4
subcounty,,Kipipiri,Intersex,2
subcounty,,Kipkelion,Intersex,4
subcounty,,Kipkomo,Intersex,7
subcounty,,Kirinyaga Central,Intersex,5
subcounty,,Kirinyaga East,Intersex,8
subcounty,,Kirinyaga West,Intersex,4
subcounty,,Kisasi,Intersex,
subcounty,,Kisauni,Intersex,6
subcounty,,Kisii Central,Intersex,3
subcounty,,Kisii South,Intersex,5
subcounty,,Kisumu Central,Intersex,5
subcounty,,Kisumu East,Intersex,4
subcounty,,Kisumu West,Intersex,3
subcounty,,Kitui Central,Intersex,5
subcounty,,Kitui West,Intersex,1
subcounty,,Kitutu Central,Intersex,6
subcounty,,Koibatek,Intersex,2
subcounty,,Konoin,Intersex,3
subcounty,,Kuresoi North,Intersex,3
subcounty,,Kuresoi South,Intersex,3
subcounty,,Kuria East,Intersex,9
subcounty,,Kuria West,Intersex,6
subcounty,,Kutulo,Intersex,2
subcounty,,Kwanza,Intersex,3
subcounty,,Kyuso,Intersex,1
subcounty,,Lafey,Intersex,5
